,No,시군구명,어린이집코드,어린이집명,어린이집유형,운영현황,우편번호,상세주소,전화번호,팩스번호,홈페이지주소,보육실수,보육실 면적,놀이터수,CCTV총설치수,보육교직원수,정원,현원,시설 위도(좌표값),시설 경도(좌표값),통학차량운영여부,인가일자,휴지시작일자,휴지종료일자,폐지일자,데이터기준일자,제공서비스,반수-만0세,반수-만1세,반수-만2세,반수-만3세,반수-만4세,반수-만5세,반수-영아혼합(만0~2세),반수-유아혼합(만3~5세),반수-특수장애,반수-총계,아동수-만0세,아동수-만1세,아동수-만2세,아동수-만3세,아동수-만4세,아동수-만5세,아동수-영아혼합(만0~2세),아동수-유아혼합(만3~5세),아동수-특수장애,아동수-총계,근속년수-1년미만,근속년수-1년이상~2년미만,근속년수-2년이상~4년미만,근속년수-4년이상~6년미만,근속년수-6년이상,교직원현황-원장,교직원현황-보육교사,교직원현황-특수교사,교직원현황-치료교사,교직원현황-영양사,교직원현황-간호사,교직원현황-간호조무사,교직원현황-조리원,교직원현황-사무직원,교직원현황-총계,데이터수집일,경도,위도,상태
2083,2770,송파구,11710000552,홀츠앤키즈어린이집,민간,정상,5792,서울특별시 송파구 충민로 188 송파파인타운1단지 관리동,02-448-7991,02-448-7994,,4,63.0,0,5,7,23,11,37.48677182,127.1346883,미운영,2011-04-06,,,,2021-07-23,야간연장,4,3,2,0,0,0,3,0,0,12,2,5,4,0,0,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,05:02.0,127.1340316,37.48645168,정좌표
2084,2773,강동구,11740000402,하은어린이집,가정,재개,5338,서울특별시 강동구 진황도로31길 26 (천호동 564 성원아파트),02-427-0888,,,4,75.0,0,4,6,20,15,37.55007295,127.1487896,미운영,2011-04-05,,,,2021-07-23,야간연장,0,2,1,0,0,0,2,0,0,5,0,9,0,0,0,0,6,0,0,15,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,05:11.0,127.1342154,37.5386208,정좌표
2085,2775,동대문구,11230000427,휴사랑어린이집,가정,정상,2593,서울특별시 동대문구 서울시립대로 14 청계한신휴플러스107-104 (답십리동),02-2244-4117,,,3,73.0,1,4,6,17,16,37.57239233,127.0459184,미운영,2011-04-04,,,,2021-07-23,일반,2,2,0,0,0,0,0,0,0,4,6,10,0,0,0,0,0,0,0,16,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,02:01.0,127.0467838,37.57267143,정좌표
2086,2777,도봉구,11320000276,아람 어린이집,가정,정상,1424,서울특별시 도봉구 덕릉로 349 402동 103호(창동 주공4단지아파트),02-907-9802,02-907-9802,jeje1028@hanmail.net,2,47.0,0,4,4,14,6,37.645046,127.04613,미운영,2011-04-01,,,,2021-07-23,야간연장,1,0,1,0,0,0,4,0,0,6,0,0,0,0,0,0,6,0,0,6,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,02:41.0,127.0461291,37.64504673,정좌표
2087,2778,강남구,11680000361,호야 어린이집,가정,정상,6365,서울특별시 강남구 헌릉로590길 11 세곡 리엔 파크 아파트 307-103,02-459-1592,,,3,57.0,0,4,4,19,6,37.46539016,127.10333,미운영,2011-04-01,,,,2021-07-23,일반,2,1,1,0,0,0,2,0,0,6,2,0,0,0,0,0,4,0,0,6,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,04:51.0,127.103825,37.46440043,정좌표
2088,2779,송파구,11710000539,잠전신사임당어린이집,민간,정상,5570,서울특별시 송파구 백제고분로11길 14-14 잠전신사임당,02-416-6126,02-416-6125,,3,146.0,0,4,7,30,18,37.50745065,127.0811797,미운영,2011-04-01,,,,2021-07-23,일반,3,3,2,0,0,0,0,0,0,8,3,8,7,0,0,0,0,0,0,18,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,05:02.0,127.0811955,37.50746269,정좌표
2089,2781,구로구,11530000521,예원어린이집,가정,정상,8324,서울특별시 구로구 구일로4길 65 주공아파트 106동 106호 (구로동),02-6339-1020,02-6339-1020,,3,73.0,0,4,4,17,5,37.49299645,126.8752781,미운영,2011-04-01,,,,2021-07-23,일반,1,0,1,0,0,0,2,0,0,4,3,0,0,0,0,0,2,0,0,5,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,03:51.0,126.8746918,37.49195711,정좌표
2090,2782,구로구,11530000517,호수어린이집,가정,정상,152753,서울특별시 구로구 남부순환로95길 54 106동 106호(개봉동 삼환아파트),02-2066-0776,02-2066-0776,,4,114.0,0,5,6,20,20,37.49475286,126.8543049,미운영,2011-03-31,,,,2021-07-23,일반,1,1,1,0,0,0,1,0,0,4,3,5,7,0,0,0,5,0,0,20,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,03:52.0,126.8537646,37.49522123,정좌표
2091,2783,광진구,11215000082,키즈팜어린이집,민간,정상,5062,서울특별시 광진구 뚝섬로47길 33 (자양동),02-453-8030,02-453-0567,,4,130.0,0,5,7,30,21,37.53391,127.0787,미운영,2011-03-31,,,,2021-07-23,일반,6,4,2,0,0,0,9,2,0,23,2,3,7,0,0,0,3,6,0,21,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,01:51.0,127.0787054,37.53391434,정좌표
2092,2784,광진구,11215000199,이삭어린이집,민간,정상,5094,서울특별시 광진구 뚝섬로40길 63-10 (자양동),02-453-5359,02-499-5359,,6,124.0,0,8,9,29,20,37.53105146,127.0719562,미운영,2011-03-31,,,,2021-07-23,야간연장,1,2,1,0,0,0,2,1,0,7,3,5,5,0,0,0,3,4,0,20,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,01:51.0,127.0719413,37.53104958,정좌표
2093,2792,중랑구,11260000398,예닮어린이집,가정,정상,2025,서울특별시 중랑구 신내로 155 806동 107호(신내동 두산아파트),02-3423-3338,02-3432-3338,,4,42.0,0,4,2,15,2,37.61375788,127.0952074,미운영,2011-03-28,,,,2021-07-23,일반,1,2,2,0,0,0,6,0,0,11,0,2,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,02:11.0,127.0956599,37.61350644,정좌표
2094,2798,강동구,11740000397,이삭어린이집,가정,정상,5209,서울특별시 강동구 아리수로97길 20 508동 102호(강일동670 강일리버파크5단지아파트),02-426-8496,02-428-8496,,3,58.0,0,4,9,19,19,37.56751873,127.1780642,미운영,2011-03-25,,,,2021-07-23,일반,2,2,1,0,0,0,1,0,0,6,5,10,4,0,0,0,0,0,0,19,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,05:11.0,127.1777179,37.56679427,정좌표
2095,2799,광진구,11215000099,아이사랑어린이집,가정,정상,5102,서울특별시 광진구 자양로3길 60 (자양동),02-2201-5151,02-2201-5151,,4,85.0,0,4,5,18,15,37.529705,127.08326,미운영,2011-03-25,,,,2021-07-23,일반,1,1,1,0,0,0,3,0,0,6,0,5,7,0,0,0,3,0,0,15,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,01:50.0,127.0832528,37.5296941,정좌표
2096,2804,강남구,11680000358,리엔어린이집,민간,정상,6365,서울특별시 강남구 헌릉로590길 11 세곡리엔파크3단지 관리동,02-459-8004,02-3411-8003,,3,70.0,0,3,6,25,8,37.46438836,127.1041649,미운영,2011-03-23,,,,2021-07-23,일반,0,1,0,0,0,0,6,1,0,8,0,0,0,0,0,0,8,0,0,8,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,04:51.0,127.103825,37.46440043,정좌표
2097,2807,서초구,11650000301,반포퍼스티지솔마을어린이집,민간,정상,6547,서울특별시 서초구 반포대로 275 래미안퍼스티지 아파트 125동앞,02-534-7266,070-7163-2123,,3,91.0,1,4,10,27,24,37.50369764,126.9980435,미운영,2011-03-22,,,,2021-07-23,일반,3,3,0,0,0,0,0,0,0,6,9,15,0,0,0,0,0,0,0,24,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,04:40.0,126.99765,37.50342334,정좌표
2098,2811,강동구,11740000396,리틀아띠어린이집,가정,정상,5287,서울특별시 강동구 상일로 74 326동 102호(상일동490 고덕리엔파크),02-481-0079,02-426-7955,well6329@naver.com,3,57.0,0,4,4,19,19,37.551373,127.17478,미운영,2011-03-18,,,,2021-07-23,야간연장,1,2,1,0,0,0,3,0,0,7,3,9,7,0,0,0,0,0,0,19,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,05:11.0,127.1756196,37.55452453,정좌표
2099,2812,강동구,11740000395,강일유희어린이집,가정,정상,5214,서울특별시 강동구 아리수로98길 25 703동102호(강일리버파크7단지),02-6397-7031,02-6397-7031,,3,59.0,0,4,6,19,14,37.5650754,127.179001,운영,2011-03-17,,,,2021-07-23,일반,0,3,0,0,0,0,0,0,0,3,0,14,0,0,0,0,0,0,0,14,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,05:10.0,127.1787282,37.56455942,정좌표
2100,2815,구로구,11530000512,꽃뜰어린이집,가정,정상,8331,서울특별시 구로구 개봉로2길 133-15 105동 101호(개봉동 개봉동현대아이파크아파트),02-2618-2004,02-2618-2004,fill405@naver.com,4,84.0,0,4,4,19,9,37.48993313,126.8597916,미운영,2011-03-11,,,,2021-07-23,일반,2,6,6,0,0,0,11,0,0,25,0,0,6,0,0,0,3,0,0,9,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,03:51.0,126.8607366,37.4902544,정좌표
2101,2816,강서구,11500000542,리틀킹어린이집,직장,정상,7558,서울특별시 강서구 공항대로 607,02-3660-8053,02-3660-8060,,3,157.0,1,8,6,49,8,37.54356822,126.8378846,미운영,2011-03-11,,,,2021-07-23,일반,0,0,1,1,1,1,0,1,0,5,0,0,0,0,0,3,0,5,0,8,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,03:41.0,126.8724064,37.54748164,정좌표
2102,2818,용산구,11170000153,서머힐어린이집,가정,정상,4392,서울특별시 용산구 장문로 27 4동 103호(이태원동 청화아파트),02-6241-0081,070-4795-0081,http://cafe.daum.net/summerhillyongsan,3,70.0,0,4,6,20,18,37.52910835,126.9936736,미운영,2011-03-10,,,,2021-07-23,야간연장,1,1,1,0,0,0,1,0,0,4,3,5,7,0,0,0,3,0,0,18,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,01:30.0,126.9958723,37.53001475,정좌표
2103,2820,강동구,11740000393,꼬마별어린이집,가정,정상,5287,서울특별시 강동구 상일로 74 336동 104호(고덕리엔파크),070-4312-1295,02-426-1084,,3,71.0,0,4,6,20,20,37.551373,127.17478,운영,2011-03-10,,,,2021-07-23,장애아통합,0,1,1,0,0,0,5,1,1,9,0,5,7,0,0,0,8,0,0,20,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,05:11.0,127.1756196,37.55452453,정좌표
2104,2822,동작구,11590000332,이편한세상어린이집,민간,정상,7054,서울특별시 동작구 보라매로 70 보라매 E-편한세상아파트 101동 보육시설 (신대방동),02-816-5005,02-816-5009,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000332,3,107.0,1,4,7,25,13,37.49549142,126.9285918,미운영,2011-03-09,,,,2021-07-23,야간연장,2,1,1,0,0,0,2,0,0,6,5,0,0,0,0,0,8,0,0,13,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,04:21.0,126.9280334,37.49529436,정좌표
2105,2823,동작구,11590000331,라엘어린이집,가정,정상,156033,서울특별시 동작구 성대로10길 44 (상도동),02-826-4416,,,2,70.0,0,2,6,16,15,37.49628194,126.9359018,미운영,2011-03-08,,,,2021-07-23,야간연장,3,1,1,0,0,0,7,1,0,13,0,0,4,0,0,0,11,0,0,15,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,04:20.0,126.9359143,37.49629887,정좌표
2106,2828,구로구,11530000511,대림숲어린이집,가정,정상,8211,서울특별시 구로구 신도림로 16 101동 104호(신도림동 신도림2차e-편한세상),02-2676-4649,,,4,84.0,0,4,7,19,15,37.5069476,126.8820762,미운영,2011-03-07,,,,2021-07-23,일반,1,2,1,0,0,0,2,0,0,6,2,4,6,0,0,0,3,0,0,15,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,03:51.0,126.880598,37.50635922,정좌표
2107,2830,강동구,11740000390,두빛나래어린이집,가정,정상,5287,서울특별시 강동구 상일로 74 336동 102호(상일동490 고덕리엔파크),02-426-8898,,,3,61.0,0,4,6,20,20,37.551373,127.17478,미운영,2011-03-04,,,,2021-07-23,일반,1,2,1,0,0,0,1,0,0,5,3,10,7,0,0,0,0,0,0,20,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,05:11.0,127.1756196,37.55452453,정좌표
2108,2832,은평구,11380000519,동부아이사랑어린이집,민간,정상,3310,서울특별시 은평구 진관2로 90 은평뉴타운 마고정아파트 311동 (진관동),02-358-4500,02-358-4500,,5,144.0,0,8,7,34,16,37.63312937,126.9273811,운영,2011-03-03,,,,2021-07-23,일반,2,2,1,0,0,0,2,0,0,7,3,5,6,0,0,0,2,0,0,16,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,03:01.0,126.9275615,37.63249142,정좌표
2109,2833,광진구,11215000006,상상놀이터어린이집,가정,정상,5112,서울특별시 광진구 자양로6길 9 (자양동),02-6406-4947,02-446-4947,,4,106.0,0,4,5,19,11,37.53208578,127.0864459,미운영,2011-03-03,,,,2021-07-23,일반,4,1,2,1,0,0,2,0,0,10,4,0,7,0,0,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,01:50.0,127.0864312,37.53208603,정좌표
2110,2836,강동구,11740000385,아기랑놀이랑어린이집,가정,정상,5298,서울특별시 강동구 명일로 293 505-101(길동 삼익파크아파트),02-481-7942,02-481-7942,,3,58.0,0,4,8,19,13,37.54470604,127.1463619,미운영,2011-03-02,,,,2021-07-23,야간연장,1,2,2,0,0,0,3,0,0,8,2,8,0,0,0,0,3,0,0,13,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05:11.0,127.1475521,37.54377313,정좌표
2111,2840,성동구,11200000288,이마트어린이집,직장,정상,4781,서울특별시 성동구 성수동2가 뚝섬로 377,02-380-9105,,,3,79.0,0,8,10,28,24,37.5400204,127.052909,미운영,2011-03-01,,,,2021-07-23,일반,0,3,2,2,0,0,0,0,0,7,0,8,9,7,0,0,0,0,0,24,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,01:40.0,127.052908,37.54002081,정좌표
2112,2841,은평구,11380000518,진관하랑어린이집,민간,재개,3306,서울특별시 은평구 진관2로 77 은평뉴타운 우물골아파트 204동 (진관동),02-303-8369,02-303-8369,,5,140.0,1,10,11,38,35,37.63431662,126.9277448,미운영,2011-02-28,,,,2021-07-23,일반,3,3,2,0,0,0,1,0,0,9,6,10,14,0,0,0,5,0,0,35,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,03:02.0,126.9290246,37.63447802,정좌표
2113,2844,양천구,11470000473,양천구청 직장어린이집,직장,정상,8094,서울특별시 양천구 목동동로 81 해누리타운 1층 (신정동),02-2061-0665,02-2061-0662,http://cafe.daum.net/yccare0665,5,175.0,3,10,14,64,56,37.51596982,126.8638478,미운영,2011-02-25,,,,2021-07-23,야간연장휴일보육,0,2,2,1,0,0,0,1,0,6,0,7,14,15,0,0,0,20,0,56,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,03:31.0,126.8638554,37.5159767,정좌표
2114,2845,서초구,11650000298,리체꿈나라 어린이집,민간,정상,6597,서울특별시 서초구 고무래로 35 (반포동),02-596-1441,,,9,270.0,2,14,14,95,75,37.50277321,127.0135713,미운영,2011-02-25,,,,2021-07-23,일반,0,2,3,2,1,1,0,0,0,9,0,10,15,19,19,12,0,0,0,75,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,04:40.0,127.0119826,37.50451097,정좌표
2115,2848,동대문구,11230000426,청정원직장어린이집,직장,정상,2586,서울특별시 동대문구 난계로30길 31 (신설동),02-2231-1896,02-2231-1897,,5,205.0,0,6,13,60,33,37.57415805,127.0251461,미운영,2011-02-23,,,,2021-07-23,일반,0,0,2,2,2,2,0,0,0,8,0,0,10,6,6,11,0,0,0,33,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,02:01.0,127.0251689,37.57416157,정좌표
2116,2849,강동구,11740000382,강동리베라움어린이집,민간,정상,5232,서울특별시 강동구 동남로79길 26 고덕현대아이파크 관리동 1층 (고덕동 499),02-426-0633,02-426-0634,,5,138.0,1,8,8,51,38,37.55870253,127.1555635,미운영,2011-02-23,,,,2021-07-23,일반,0,2,4,1,0,0,0,0,0,7,0,10,19,9,0,0,0,0,0,38,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05:10.0,127.1561149,37.5590392,정좌표
2117,2850,강동구,11740000381,해이림어린이집,민간,정상,5388,서울특별시 강동구 풍성로 147-5 (성내동  509-16),02-489-5929,02-489-5930,kjw5929@hanmail.net,7,451.0,1,10,17,97,89,37.5313431,127.1285187,운영,2011-02-23,,,,2021-07-23,일반,1,2,2,1,1,1,1,1,0,10,3,10,13,12,19,17,3,12,0,89,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17.0,05:11.0,127.1285359,37.5313595,정좌표
2118,2852,은평구,11380000517,햇님어린이집,가정,정상,3499,서울특별시 은평구 증산로7길 11-4,02-306-1939,02-306-1939,꼬마숲증산동햇님어린이집,3,51.0,0,4,5,18,12,37.58391933,126.906313,미운영,2011-02-22,,,,2021-07-23,일반,0,1,1,0,0,0,6,0,0,8,0,0,5,0,0,0,7,0,0,12,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,03:02.0,126.907601,37.58404288,정좌표
2119,2853,서초구,11650000297,KTDS서초어린이집,직장,정상,6707,서울특별시 서초구 효령로 174 ktds서초 어린이집,02-3471-1264,02-3471-1265,,4,128.0,1,5,8,35,17,37.4820047,127.0032392,미운영,2011-02-22,,,,2021-07-23,일반,0,1,1,1,0,0,0,1,0,4,0,2,4,4,0,0,0,7,0,17,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,04:40.0,127.0033293,37.48222486,정좌표
2120,2856,영등포구,11560000343,금빛어린이집,가정,정상,7380,서울특별시 영등포구 도림로 313 가동 104호(신길동 건영아파트),070-4312-2274,02-832-2274,,3,60.0,0,3,5,14,8,37.50432018,126.900972,미운영,2011-02-16,,,,2021-07-23,일반,1,1,0,0,0,0,2,0,0,4,3,0,0,0,0,0,5,0,0,8,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,04:10.0,126.9012281,37.50450741,정좌표
2121,2858,강동구,11740000379,리틀아트짐어린이집,가정,정상,5287,서울특별시 강동구 상일로 74 324동 104호(상일동 고덕리엔파크),02-441-2234,02-6080-7576,,3,51.0,0,4,5,19,19,37.551373,127.17478,미운영,2011-02-16,,,,2021-07-23,일반,2,2,1,0,0,0,3,0,0,8,2,10,7,0,0,0,0,0,0,19,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,05:11.0,127.1756196,37.55452453,정좌표
2122,2859,은평구,11380000515,꿈꾸는어린이집,가정,정상,3309,서울특별시 은평구 연서로44길 30 은평뉴타운폭포동아파트 425동 (진관동),02-357-0050,02-357-0050,,5,179.0,0,6,6,20,13,37.63376907,126.9136903,미운영,2011-02-15,,,,2021-07-23,일반,2,3,3,0,0,0,3,1,0,12,0,0,7,0,0,0,6,0,0,13,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,03:01.0,126.9340247,37.62739959,정좌표
2123,2864,강동구,11740000376,암사꼬마숲어린이집,가정,정상,5240,서울특별시 강동구 상암로 11 104동 107호(암사동 선사현대아파트),02-478-2476,02-6427-2477,www.littleforest.co.kr/home/amsa/,3,58.0,0,4,6,20,17,37.552504,127.1256807,미운영,2011-02-08,,,,2021-07-23,야간연장,2,2,1,0,0,0,2,0,0,7,5,5,7,0,0,0,0,0,0,17,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,05:11.0,127.1263398,37.55325884,정좌표
2124,2865,강남구,11680000354,강남키즈랜드어린이집,민간,정상,6250,서울특별시 강남구 역삼로8길 11 (역삼동),02-557-8112,050-4430-5549,,4,136.0,0,8,8,49,41,37.49342027,127.0339284,미운영,2011-02-01,,,,2021-07-23,일반,0,0,2,1,0,0,0,1,0,4,0,0,9,14,0,0,0,18,0,41,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,04:51.0,127.0339273,37.49342058,정좌표
2125,2866,영등포구,11560000342,라온누리어린이집,가정,정상,7374,서울특별시 영등포구 도림로 365 103동 101호(도림동 동아에코빌),02-6080-9842,070-8731-3799,,3,97.0,0,4,5,20,10,37.50920049,126.8986813,미운영,2011-02-01,,,,2021-07-23,야간연장,1,2,1,0,0,0,4,0,0,8,0,5,0,0,0,0,5,0,0,10,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,04:10.0,126.8987542,37.50940153,정좌표
2126,2869,양천구,11470000472,초롱어린이집,가정,정상,7993,서울특별시 양천구 목동로 212 724동 108호(목동 목동신시가지7단지아파트),02-2651-7716,,,2,40.0,0,3,4,15,14,37.52675554,126.866682,미운영,2011-01-31,,,,2021-07-23,일반,2,1,1,0,0,0,3,0,0,7,3,4,7,0,0,0,0,0,0,14,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,03:31.0,126.8675916,37.5281401,정좌표
2127,2871,은평구,11380000514,현대자연어린이집,민간,정상,3309,서울특별시 은평구 연서로44길 7 은평뉴타운폭포동아파트 412동 (진관동),02-354-1188,02-359-1616,,6,125.0,0,8,3,47,5,37.62827596,126.9355688,미운영,2011-01-27,,,,2021-07-23,일반,0,1,3,0,0,0,6,1,0,11,0,0,0,0,0,0,5,0,0,5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,03:02.0,126.9337177,37.62856319,정좌표
2128,2872,성동구,11200000287,꼬마숲어린이집,가정,정상,4746,서울특별시 성동구 고산자로 164 105동 103호(행당동 행당한신),070-4312-3954,02-2297-3954,,3,84.0,0,4,6,19,13,37.55519044,127.0361429,미운영,2011-01-27,,,,2021-07-23,일반,0,3,1,0,0,0,3,0,0,7,0,10,0,0,0,0,3,0,0,13,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,01:40.0,127.0368012,37.55556446,정좌표
2129,2874,중랑구,11260000396,작은숲어린이집,가정,정상,2029,서울특별시 중랑구 숙선옹주로 91 408동 101호(묵동 신내아파트),02-3422-4291,,qntksehdwn@hanmail.net,3,54.0,0,3,3,12,8,37.61631732,127.0847554,미운영,2011-01-25,,,,2021-07-23,일반,2,1,0,0,0,0,7,0,0,10,0,0,0,0,0,0,8,0,0,8,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,02:11.0,127.0852649,37.6171693,정좌표
2130,2877,은평구,11380000513,삼성래미안어린이집,민간,정상,3301,서울특별시 은평구 진관3로 77 921동(진관동 은평뉴타운구파발),02-356-7111,02-356-7121,,4,85.0,1,12,6,32,25,37.64150473,126.9200135,미운영,2011-01-21,,,,2021-07-23,일반,3,2,2,0,0,0,8,1,0,16,0,0,8,0,0,0,10,7,0,25,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,03:01.0,126.9199716,37.64379313,정좌표
2131,2880,강동구,11740000375,선사어린이집,민간,정상,5241,서울특별시 강동구 상암로3길 70 (암사동 504-5),02-3426-1148,,,7,337.0,2,8,14,71,50,37.55347035,127.1278096,운영,2011-01-18,,,,2021-07-23,일반,2,2,3,1,0,0,4,1,0,13,3,5,12,11,0,0,5,14,0,50,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,05:11.0,127.1278289,37.5534878,정좌표
2132,2885,양천구,11470000471,이화키즈어린이집,가정,정상,7975,서울특별시 양천구 목동중앙본로2길 45 목동근상프리즘아파트 106호 (목동),02-2061-0667,02-2061-0667,cdshk112@daum.net,3,56.0,0,4,5,20,12,37.54092358,126.8706682,미운영,2011-01-07,,,,2021-07-23,일반,1,1,0,0,0,0,1,0,0,3,2,5,0,0,0,0,5,0,0,12,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,03:31.0,126.8706832,37.5410448,정좌표
2133,2887,서초구,11650000296,양재키움어린이집,가정,정상,6784,서울특별시 서초구 동산로14길 13 라동 101호(양재동 초원파크빌),02-575-1238,,,4,53.0,0,4,8,14,12,37.47167998,127.0468642,미운영,2011-01-05,,,,2021-07-23,일반,0,1,0,0,0,0,5,0,0,6,0,0,0,0,0,0,12,0,0,12,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,04:41.0,127.0468818,37.47169407,정좌표
